"";"description";"JELcode";"dict"
"1";"A General economics and teaching";"A";"economics teaching economics role economics role economist market economist relation economics disciplines relation economics social values sociology economics economic education teaching economics pre-college undergraduate graduate collective works collected writings individual volumes handbook"
"2";"B History of economic thought, methodology, and heterodox approaches";"B";"history economic thought methodology heterodox approach history economic thought preclassical classical neoclassical socialist marxist historical institutional history economic thought quantitative mathematical history economic thought since microeconomics macroeconomics history economic thought econometrics quantitative & mathematical studies socialist marxist sraffian historical institutional evolutionary austrian history thought individual individual obituaries economic methodology economic methodology current heterodox approaches socialist marxian sraffian institutional evolutionary austrian feminist economics"
"3";"C Mathematical and quantitative methods";"C";"mathematical quantitative method econometrics mathematical methods econometric statistical methods bayesian analysis hypothesis test estimation semiparametric nonparametric method statistical simulation method specific distribution statistical distribution econometric method single equation model single variable cross-sectional models spatial model treatment effect model time-series models panel datum discrete regression qualitative choice model econometric methods multiple simultaneous equation model cross-sectional models spatial models treatment effect model time-series models model panel datum truncated censor model truncated censor model discrete regression qualitative choice model econometric statistical methods special topic duration analysis survey method index number aggregation operations research statistical decision theory neural networks related topics specific distributions econometric modeling model construction estimation model evaluation testing forecasting prediction methods simulation mathematical methods programming models mathematical simulation modeling optimization technique programming model dynamic analysis existence stability condition equilibrium computational technique simulation modeling miscellaneous mathematical tools input<e2>output model computable equilibrium model game theory bargaining theory cooperative game noncooperative game stochastic dynamic game evolutionary game repeated games bargaining theory matching theory[disambiguation need data collection data estimation methodology computer programs methodology collecting estimate organize microeconomic datum methodology collecting estimate organize macroeconomic datum econometric software computer software design experiment laboratory individual behavior laboratory group behavior field experiment"
"4";"D Microeconomics";"D";"microeconomics microeconomic behavior underlie principles institution design formation operations behavioral economics underlying principles household behavior family economics consumer economics theory consumer economics theory.[3 consumer economics empirical analysis household production intrahousehold allocation personal finance consumer protection production organization firm behavior organizational behavior transaction costs property right production cost capital multifactor total factor productivity capacity distribution personal income wealth distributions factor production market structure pricing perfect competition monopoly oligopoly form market imperfection auctions rationing licensing value theory market design equilibrium disequilibrium exchange production economy incomplete markets input<e2>output tables analysis computable applied equilibrium models welfare economics allocative efficiency cost-benefit analysis externality equity justice inequality normative criteria measurement altruism philanthropy analysis collective decision-making social choice club committee association economic models political process rent-seeking elections legislatures voting behavior bureaucracy administrative process public organizations corruption conflict conflict resolution alliances positive analysis policy-making implementation criteria decision-making risk uncertainty asymmetric private information market design search learning information knowledge expectation speculation network formation analysis theory economics contract theory neuroeconomics intertemporal choice growth intertemporal consumer choice life cycle model saving intertemporal firm choice growth investment financing"
"5";"E Macroeconomics and monetary economics";"E";"macroeconomics monetary economics macroeconomics monetary economics measurement data national income product accounts wealth institution macroeconomy aggregative models marxian sraffian institutional evolutionary keyne keynesian post-keynesian neoclassical social accounting matrix forecasting simulation macroeconomics consumption saving production employment investment consumption saving wealth capital investment include inventory capacity production employment unemployment wages intergenerational income distribution aggregate human capital aggregate factor income distribution informal economy underground economy forecasting simulation price business fluctuations cycles price level inflation deflation business fluctuations cycles forecasting simulation money interest rate demand money monetary systems standards regimes government monetary system payment systems determination interest rates term structure interest rates financial markets macroeconomy forecasting simulation monetary policy central banking supply money credit money supply credit money multiplier monetary policy central banks policy macroeconomic policy formation macroeconomic aspects public finance macroeconomic policy outlook policy objectives policy designs consistency policy coordination fiscal policy public expenditures investment finance taxation comparative joint analysis fiscal monetary policy stabilization income policy price policy study particular policy episodes outlook conditions"
"6";"F International economics";"F";"international economics international economics global outlook international economic order noneconomic international organizations integration globalization trade neoclassical model trade model trade imperfect competition scale economy commercial policy protection promotion trade negotiation international organizations empirical studies trade economic integration trade labor market interactions trade forecasting simulation trade environment international factor movements international business international investment long-term capital movements international migration multinational firms international business remittance international finance foreign exchange current account adjustment short-term capital movements international monetary arrangements institutions international lending debt problems foreign aid financial aspects economic integration international finance forecasting simulation macroeconomic aspects international trade finance open economy macroeconomics international policy coordination transmission economic growth open economy forecasting simulation international relations international political economy international conflicts negotiation sanction national security economic nationalism international agreements observance international organizations colonialism imperialism postcolonialism international institutional arrangements international relations international political economy"
"7";"G Financial economics";"G";"financial economics financial economics financial crisis behavioral finance underlie principles financial markets portfolio choice investment decision asset pricing trading volume bond interest rate contingent pricing futures pricing information market efficiency event studies international financial market financial forecasting government policy regulation financial institution services bank depository institutions micro finance institutions mortgage insurance insurance company non-bank financial institutions financial instruments institutional investors investment banking venture capital brokerage rating rating agency government policy regulation corporate finance governance capital budgeting fixed investment inventory studies financing policy financial risk risk management capital ownership structure goodwill bankruptcy liquidation mergers acquisition restructuring corporate governance payout policy government policy regulation"
"8";"H Public economics";"H";"public economics public economics structure scope government structure scope performance government crisis management taxation subsidies revenue efficiency optimal taxation incidence externality redistributive effect environmental taxis subsidy personal income nonbusiness taxis subsidy business taxis subsidy tax evasion source revenue fiscal policies behavior economic agents household firm publicly provide good public good publicly provided private goods project evaluation social discount rate publicly provided goods mix market national government expenditures related policy government expenditures health government expenditures education government expenditures welfare programs infrastructure public investment capital stock social security public pension national security war government procurement national budget deficit debt budget budget systems deficit surplus debt debt management debt debt management sovereign debt forecast budgets deficits debt state local government intergovernmental relations state local taxation subsidies revenue state local budget expenditures interjurisdictional differentials effects state local borrowing state local government health education welfare public pension state local government expenditure categories intergovernmental relations federalism secession miscellaneous issue governmental loans loan guarantees credits grants bailouts governmental property public administration public sector accounting audits disaster aid international fiscal issues international public goods"
"9";"I Health, education, and welfare";"I";"health education welfare health education welfare health analysis health care markets health production nutrition mortality morbidity substance abuse addiction disability economic behavior government policy regulation public health education analysis education educational finance higher education research institutions government policy welfare poverty welfare basic need live standard quality life happiness measurement analysis poverty government policy provision effects welfare programs"
"10";"J Labor and demographic economics";"J";"labor demographic economics labor demographic economics demographic economics demographic trends forecasts marriage marital dissolution family structure fertility family planning child care children youth economics elderly economics handicapped economics minorities races non-labor discrimination economics gender non-labor discrimination value life foregone income public policy time allocation work behavior employment determination creation human capital labor force employment size structure time allocation labor supply employment determination job creation demand labor self-employment human capital skill occupational choice labor productivity retirement retirement policy safety accidents industrial health job satisfaction related public policy wages compensation labor cost wage level structure wage differential skill training occupation etc nonwage labor cost benefits private pension compensation packages payment methods public policy particular labor markets contract specific human capital matching model efficiency wage model internal labor market monopsony segmented labor markets agricultural labor markets professional labor markets occupation public sector labor markets public policy labor relations trade union collective bargaining trade union objective structure effects dispute resolution strike arbitration mediation collective bargaining labor-management relation industrial jurisprudence producer cooperative labor manage firm public policy mobility unemployment vacancy geographic labor mobility immigrant workers job occupational intergenerational mobility turnover vacancy layoff unemployment model duration incidence job search unemployment insurance severance pay plant closing public policy labor discrimination discrimination public policy labor standards national international work condition labor force composition workers rights public policy code (sub)categories include periodic update reference journal economic literature jel classification system link def"
"11";"K Law and economics";"K";"law economics law economics basic area law property law contract law tort law product liability criminal law regulation business law antitrust law business securities law regulated industries administrative law substantive area law labor law environmental health safety law international law tax law personal bankruptcy law immigration law legal procedure legal system illegal behavior litigation process illegal behavior enforcement law"
"12";"L Industrial organization";"L";"industrial organization industrial organization market structure firm strategy market performance production pricing market structure size distribution firms monopoly monopolization strategies oligopoly imperfect markets transactional relationship contracts reputation networks information product quality standardization compatibility industrial organization macroeconomics industrial structure structural change industrial price indices open source products markets firm objectives organization behavior business objectives firm firm organization market structure organization production contracting joint venture technology licensing firm performance size diversification scope entrepreneurship non-profit organization public enterprise nonprofit institutions ngos public enterprise public-private enterprises comparison public private enterprises privatization contracting antitrust issue policy monopolization horizontal anticompetitive practices vertical restraints resale price maintenance quantity discounts legal monopolies regulation deregulation antitrust policy public enterprise nonprofit institutions professional organizations regulation industrial policy economics regulation industrial policy sectoral planning methods enterprise policy industry studies manufacturing metals metal products cement glass ceramics automobiles transportation equipment microelectronics computers communications equipment machinery business equipment armaments chemical rubber drugs biotechnology food beverages cosmetics tobacco wine spirits consumer nondurables clothing textiles shoes leather appliance consumer durables industry study primary products construction mining extraction refining hydrocarbon fuels mining extraction refining nonrenewable resources forest products construction government policy industry studies service retail wholesale trade e-commerce entertainment media performing arts visual arts broadcasting publishing etc sports gambling recreation tourism personal professional b"
"13";"M Business administration and business economics; marketing; accounting";"M";"business administration business economics marketing accounting business administration business economics marketing account business administration production management personnel management new firm startup company corporate culture social responsibility management international business administration business economics business economics marketing advertising marketing advertising government policy regulation accounting auditing accounting scholarship auditing government policy regulation personnel economics firm employment decision promotion hire firing turnover part-time temporary worker seniority issue compensation compensation method effects stock option fringe benefit incentive family support program seniority issue training labor management team formation worker empowerment job design task authority job satisfaction labor contracting devices outsourcing franchising"
"14";"N Economic history";"N";"economic history economic history development discipline historiographical source method macroeconomics monetary economics growth fluctuations international comparative u.s. canada pre-1913 u.s. canada @card@ europe pre-1913 europe @card@ asia include middle east latin america caribbean africa oceania financial markets institutions international comparative u.s. canada pre-1913 u.s. canada @card@ europe pre-1913 europe @card@ asia include middle east latin america caribbean africa oceania labor consumers demography education income wealth international comparative u.s. canada pre-1913 u.s. canada @card@ europe pre-1913"
"15";"O Economic development, technological change, and growth";"O";"economic development technological change growth economic development technological change growth economic development macroeconomic analyses economic development microeconomic analyses economic development agriculture natural resources energy environment primary products industrialization manufacturing service industries choice technology human resources human development income distribution migration financial markets saving capital investment formal informal sectors shadow economy institutional arrangements legal social economic political regional urban rural analyses transportation international linkages development role international organizations development planning policy planning models planning policy project analysis fiscal monetary policy development trade policy factor movement policy foreign exchange policy industrial policy technological change research development innovation invention process incentive management technological innovation r&d technological change choice consequence diffusion processes intellectual property rights national international issues government policy economic growth aggregate productivity multisector growth models monetary growth models institution growth environment growth measurement economic growth aggregate productivity economywide country studies u.s. canada europe asia include middle east latin america caribbean africa oceania comparative studies countries"
"16";"P Economic systems";"P";"economic systems economic system capitalist systems planning coordination reform capitalist enterprises cooperative enterprises property rights political economy performance prospects socialist systems transitional economy planning coordination reform price factor product markets industry studies population national income product expenditure money inflation urban rural regional economics housing transportation political economy property rights performance prospects natural resources energy environment socialist institutions transition socialist enterprises transition collective communes agriculture international trade finance investment business aid financial economics public economics consumer economics health education welfare poverty legal institutions illegal behavior economic systems planning coordination reform productive enterprises factor product markets price population public economics financial economics national income product expenditure money inflation international trade finance investment aid consumer economics welfare poverty performance prospects political economy legal institutions property rights natural resources energy environment regional studies comparative economic systems comparative analysis economic systems comparative studies particular economy"
"17";"Q Agricultural and natural resource economics; environmental and ecological economics";"Q";"agricultural natural resource economics environmental ecological economics agricultural natural resource economics environmental ecological economics sustainable development global commodity crises agriculture aggregate supply demand analysis price micro analysis farm firms farm households farm input markets agricultural market marketing cooperatives agribusiness agricultural finance land ownership tenure land reform land use irrigation agriculture environment r &d agricultural technology biofuels agricultural extension services agriculture international trade agricultural policy food policy renewable resources conservation demand supply fishery aquaculture forestry land water recreational aspects natural resources government policy nonrenewable resources conservation demand supply exhaustible resources economic development resource booms natural resources domestic international conflicts government policy energy demand supply alternative energy source energy macroeconomy energy forecasting government policy environmental economics valuation environmental effects pollution control adoption costs distributional effects employment effects air pollution water pollution noise hazardous waste solid waste recycling climate natural disasters global warming technological innovation environment development environment trade sustainability environment accounts accounting environmental equity population growth ecological economics ecosystem services biodiversity conservation bioeconomics industrial ecology government policy"
"18";"R Urban, rural, and regional economics";"R";"urban rural regional economics urban rural regional economics regional economics regional economic activity growth development changes size spatial distribution regional economic activity interregional trade equilibrium welfare economic analysis regional economy land use patterns econometric input<e2>output models model household analysis housing demand demand regional migration regional labor markets population production analysis firm location housing supply markets production pricing analysis nonagricultural nonresidential real estate markets input demand analysis government policy regulatory policies transportation systems transportation demand supply congestion safety accidents government private investment analysis government pricing regulatory policies regional government analysis finance urban rural economy land use regulations public facility location analysis public investment capital stock regional development policy"
"19";"Y Miscellaneous categories (economics)";"Y";"miscellaneous category economics datum table charts datum table charts material material book reviews book reviews dissertation dissertation reading reading excerpt author discussions excerpts author discussions related disciplines related disciplines pictures maps"
"20";"Z Other special topics (economics)";"Z";"special topic special topic economics cultural economics economic sociology economic anthropology economics art literature religion economic sociology economic anthropology social economic stratification public policy"
