"";"id";"number";"title";"authors";"projectcode";"date";"jel";"lemma";"stem"
"1";1;"2005-001";"Nonparametric Risk Management with Generalized Hyperbolic Distributions";"Ying Chen, Wolfgang H‰rdle and  Seok-Oh Jeong";"B1";"2004-10-27";"C14,  C16,  G15";"paper propose ghada risk management model base generalize hyperbolic gh distribution nonparametric adaptive methodology compare normal distribution gh distribution possess semi-heavy tail represent financial risk factor appropriately nonparametric adaptive methodology desirable property estimate homogeneous volatility short time interval dem/ usd exchange rate datum german bank portfolio datum propose ghada model provide accurate value risk calculation traditional model base normal distribution calculation simulation do xplore";"paper propos ghada risk manag model base gener hyperbol gh distribut nonparametr adapt methodologi compar normal distribut gh distribut possess semi-heavi tail repres financi risk factor appropri nonparametr adapt methodologi desir properti estim homogen volatil short time interv dem/ usd exchang rate data german bank portfolio data propos ghada model provid accur valu risk calcul tradit model base normal distribut calcul simul done xplore"
"2";2;"2005-002";"Selecting Comparables for the Valuation of European Firms";"Ingolf Dittmann and  Christian Weiner";"A1";"2005-02-10";"G19,  M41";"paper investigate comparables selection method generate precise forecast value european company enterprise value ebit multiple also consider usa reference point turn select comparable company similar return asset clearly outperform selection accord industry membership total asset moreover investigate whether comparables select country region oecd member european country choose comparables european union member state yield good forecast contrast uk us comparables choose country";"paper investig compar select method gener precis forecast valu european compani enterpris valu ebit multipl also consid usa refer point turn select compar compani similar return asset clearli outperform select accord industri membership total asset moreov investig whether compar select countri region oecd member european countri choos compar european union member state yield best forecast contrast uk us compar chosen countri"
"3";3;"2005-003";"Competitive Risk Sharing Contracts with One-Sided Commitment";"Harald Uhlig and  Dirk Krueger";"C1";"2005-02-10";"G22,  E21,  D11,  D91";"paper analyze dynamic equilibrium risk share contract profit-maximizing intermediary large pool ex-ante identical agent face idiosyncratic income uncertainty make heterogeneous ex-post give period observe income agent can walk away contract intermediary i.e. one-sided commitment consider extreme scenario agent face cost walk away can sign compete intermediary without reputational loss demonstrate autarky also partial full insurance can obtain depend relative patience agent financial intermediary insurance can provide equilibrium contract up-front payment effectively lock agent intermediary show contract economy equivalent consumption-savings economy one-period arrow security short-sale constraint similar bulow rogoff (1989) equivalence characterization dynamic contract immediately follow without cost switch financial intermediary debt contract sustainable even though risk allocation superior autarky can achieve";"paper analyz dynam equilibrium risk share contract profit-maxim intermediari larg pool ex-ant ident agent face idiosyncrat incom uncertainti make heterogen ex-post given period observ incom agent can walk awai contract intermediari i.e. one-sid commit consid extrem scenario agent face cost walk awai can sign compet intermediari without reput loss demonstr autarki also partial full insur can obtain depend rel patienc agent financi intermediari insuranc can provid equilibrium contract up-front payment effect lock agent intermediari show contract economi equival consumption-sav economi one-period arrow secur short-sal constraint similar bulow rogoff (1989) equival character dynam contract immedi follow without cost switch financi intermediari debt contract sustain even though risk alloc superior autarki can achiev"
"4";4;"2005-004";"Value-at-Risk Calculations with Time Varying Copulae";"Enzo Giacomini and  Wolfgang H‰rdle";"B1";"2005-02-10";"C14";"value-at-risk var portfolio determine multivariate distribution risk factor increment distribution can model copulae copulae parameter necessarily constant time exchange rate portfolio copulae time vary parameter estimate var simulate accordingly backtesting underline improve performance time vary copulae";"value-at-risk var portfolio determin multivari distribut risk factor increment distribut can model copula copula paramet necessarili constant time exchang rate portfolio copula time vari paramet estim var simul accordingli backtest underlin improv perform time vari copula"
"5";5;"2005-005";"An optimal stopping problem in a diffusion-type model with delay";"Markus Reiﬂ and  Pavel V. Gapeev";"C4";"2005-02-10";"C61";"present explicit solution optimal stopping problem model describe stochastic delay differential equation exponential delay measure method proof base reduce initial problem free-boundary problem solve latter mean smooth-fit condition problem can interpret price special perpetual average american put option diffusion-type model delay";"present explicit solut optim stop problem model describ stochast delai differenti equat exponenti delai measur method proof base reduc initi problem free-boundari problem solv latter mean smooth-fit condit problem can interpret price special perpetu averag american put option diffusion-typ model delai"
"6";6;"2005-006";"Conditional and dynamic convex risk measures";"Kai Detlefsen and  Giacomo Scandolo";"B1";"2005-02-10";"D81";"extend definition convex risk measure conditional framework additional information available characterize risk measure associate acceptance set prove representation result term conditional expectation example consider class conditional entropic risk measure new regularity property conditional risk measure define discuss finally introduce concept dynamic convex risk measure family successive conditional convex risk measure characterize satisfy natural time consistency property";"extend definit convex risk measur condit framework addit inform avail character risk measur associ accept set prove represent result term condit expect exampl consid class condit entrop risk measur new regular properti condit risk measur defin discuss final introduc concept dynam convex risk measur famili success condit convex risk measur character satisfi natur time consist properti"
"7";7;"2005-007";"Implied Trinomial Trees";"Pavel Cizek and  Karel Komorad";"B1";"2005-03-01";"C51,  G12";"imply trinomial tree itts present analogous extension trinomial tree propose derman kani chriss (1996) like binomial counterpart can fit market volatility smile actually converge continuous limit binomial tree addition allow free choice underlie price node tree so-called state space feature itts allow improve fit volatility smile circumstance inconsistent arbitrage-violating market price lead implausible degenerate probability distribution binomial tree introduce itts several step first review main concept regard option pricing section implied model section 2) later discuss construction itts section provide illustrative example section 4)";"impli trinomi tree itt present analog extens trinomi tree propos derman kani chriss (1996) like binomi counterpart can fit market volatil smile actual converg continu limit binomi tree addit allow free choic underli price node tree so-cal state space featur itt allow improv fit volatil smile circumst inconsist arbitrage-viol market price lead implaus degener probabl distribut binomi tree introduc itt sever step first review main concept regard option price section impli model section 2) later discuss construct itt section provid illustr exampl section 4)"
"8";9;"2005-009";"Predicting Bankruptcy with Support Vector Machines";"Wolfgang H‰rdle, Rouslan A. Moro and  Dorothea Sch‰fer";"B1";"2005-03-01";"C40,  G10";"purpose work introduce promising among recently develop statistical technique support vector machine svm corporate bankruptcy analysis svm implement analyse predictor financial ratio method adapt default probability estimation propose survey practically apply method give work show support vector machine capable extract useful information financial datum although extensive datum set require order fully utilize classification power";"purpos work introduc promis among recent develop statist techniqu support vector machin svm corpor bankruptci analysi svm implement analys predictor financi ratio method adapt default probabl estim propos survei practic appli method given work show support vector machin capabl extract us inform financi data although extens data set requir order fulli util classif power"
"9";12;"2005-012";"Common Functional Implied Volatility Analysis";"Michal Benko and  Wolfgang H‰rdle";"B1";"2005-03-01";"C13,  G19";"trading hedging risk analysis complex option portfolio depend accurate pricing model model implied volatility iv play important role since volatility crucial parameter black-scholes bs pricing formula well know empirical study volatility imply observed market price exhibit pattern know volatility smile smirk contradict assumption constant volatility bs pricing model hand iv function parameter strike price time maturity desirable practice reduce dimension object characterize iv surface small number factor clearly dimension reduce pricing-model reflect dynamics iv surface need contain factor factor loading characterize iv surface movement across time";"trade hedg risk analysi complex option portfolio depend accur price model model impli volatil iv plai import role sinc volatil crucial paramet black-schol bs price formula well known empir studi volatil impli observ market price exhibit pattern known volatil smile smirk contradict assumpt constant volatil bs price model hand iv function paramet strike price time matur desir practic reduc dimens object character iv surfac small number factor clearli dimens reduc pricing-model reflect dynam iv surfac need contain factor factor load character iv surfac movement across time"
"10";13;"2005-013";"Nonparametric Productivity Analysis";"Wolfgang H‰rdle and  Seok-Oh Jeong";"B1";"2005-03-01";"C14,  D20";"can measure compare relative performance production unit input output variable dimensional simple way compute efficiency calculate compare ratio output input production unit idea inappropriate though multiple input multiple output observe consider bank example branch b c. branch take number staff input measure output number transaction personal business account assume follow statistic observe";"can measur compar rel perform product unit input output variabl dimension simplest wai comput effici calcul compar ratio output input product unit idea inappropri though multipl input multipl output observ consid bank exampl branch b c. branch take number staff input measur output number transact person busi account assume follow statist observ"
