"";"id";"number";"title";"authors";"projectcode";"date";"jel";"abstracts"
"1";1;"2005-001";"Nonparametric Risk Management with Generalized Hyperbolic Distributions";"Ying Chen, Wolfgang Härdle and  Seok-Oh Jeong";"B1";"2004-10-27";"C14,  C16,  G15";" In this paper we propose the GHADA risk management model that is based on the generalized hyperbolic (GH) distribution and on a nonparametric adaptive methodology. Compared to the normal distribution, the GH distribution possesses semi-heavy tails and represents the financial risk factors more appropriately. The nonparametric adaptive methodology has the desirable property of estimating homogeneous volatility in a short time interval. For DEM/USD exchange rate data and a German bank portfolio data the proposed GHADA model provides more accurate value at risk calculation than the traditional model based on the normal distribution. All calculations and simulations are done with XploRe."
"2";2;"2005-002";"Selecting Comparables for the Valuation of European Firms";"Ingolf Dittmann and  Christian Weiner";"A1";"2005-02-10";"G19,  M41";" This paper investigates which comparables selection method generates the most precise forecasts when valuing European companies with the enterprise value to EBIT multiple. We also consider the USA as a reference point. It turns out that selecting comparable companies with similar return on assets clearly outperforms selections according to industry membership or total assets. Moreover, we investigate whether comparables should be selected from the same country, from the same region, or from all OECD members. For most European countries, choosing comparables from the 15 European Union member states yields the best forecasts. In contrast, for the UK and the US, comparables should be chosen from the same country only."
"3";3;"2005-003";"Competitive Risk Sharing Contracts with One-Sided Commitment";"Harald Uhlig and  Dirk Krueger";"C1";"2005-02-10";"G22,  E21,  D11,  D91";" This paper analyzes dynamic equilibrium risk sharing contracts between profit-maximizing intermediaries and a large pool of ex-ante identical agents that face idiosyncratic income uncertainty that makes them heterogeneous ex-post. In any given period, after having observed her income, the agent can walk away from the contract, while the intermediary cannot, i.e. there is one-sided commitment. We consider the extreme scenario that the agents face no costs to walking away, and can sign up with any competing intermediary without any reputational losses. We demonstrate that not only autarky, but also partial and full insurance can obtain, depending on the relative patience of agents and financial intermediaries. Insurance can be provided because in an equilibrium contract an up-front payment effectively locks in the agent with an intermediary. We then show that our contract economy is equivalent to a consumption-savings economy with one-period Arrow securities and a short-sale constraint, similar to Bulow and Rogoff (1989). From this equivalence and our characterization of dynamic contracts it immediately follows that without cost of switching financial intermediaries debt contracts are not sustainable, even though a risk allocation superior to autarky can be achieved."
"4";4;"2005-004";"Value-at-Risk Calculations with Time Varying Copulae";"Enzo Giacomini and  Wolfgang Härdle";"B1";"2005-02-10";"C14";" Value-at-Risk (VaR) of a portfolio is determined by the multivariate distribution of the risk factors increments. This distribution can be modelled through copulae, where the copulae parameters are not necessarily constant over time. For an exchange rate portfolio, copulae with time varying parameters are estimated and the VaR simulated accordingly. Backtesting underlines the improved performance of time varying copulae."
"5";5;"2005-005";"An optimal stopping problem in a diffusion-type model with delay";"Markus Reiß and  Pavel V. Gapeev";"C4";"2005-02-10";"C61";" We present an explicit solution to an optimal stopping problem in a model described by a stochastic delay differential equation with an exponential delay measure. The method of proof is based on reducing the initial problem to a free-boundary problem and solving the latter by means of the smooth-fit condition. The problem can be interpreted as pricing special perpetual average American put options in a diffusion-type model with delay."
"6";6;"2005-006";"Conditional and dynamic convex risk measures";"Kai Detlefsen and  Giacomo Scandolo";"B1";"2005-02-10";"D81";" We extend the definition of a convex risk measure to a conditional framework where additional information is available. We characterize these risk measures through the associated acceptance sets and prove a representation result in terms of conditional expectations. As an example we consider the class of conditional entropic risk measures. A new regularity property of conditional risk measures is defined and discussed. Finally we introduce the concept of a dynamic convex risk measure as a family of successive conditional convex risk measures and characterize those satisfying some natural time consistency properties."
"7";7;"2005-007";"Implied Trinomial Trees";"Pavel Cizek and  Karel Komorad";"B1";"2005-03-01";"C51,  G12";" Implied trinomial trees (ITTs) present an analogous extension of trinomial trees proposed by Derman, Kani, and Chriss (1996). Like their binomial counterparts, they can fit the market volatility smile and actually converge to the same continuous limit as binomial trees. In addition, they allow for a free choice of the underlying prices at each node of a tree, the so-called state space. This feature of ITTs allows to improve the fit of the volatility smile under some circumstances such as inconsistent, arbitrage-violating, or other market prices leading to implausible or degenerated probability distributions in binomial trees. We introduce ITTs in several steps. We first review main concepts regarding option pricing (Section 1) and implied models (Section 2). Later, we discuss the construction of ITTs (Section 3) and provide some illustrative examples (Section 4)."
"8";8;"2005-008";"Stable Distributions";"Szymon Borak, Wolfgang Härdle and  Rafal Weron";"B1";"2005-03-01";"C16";""
"9";9;"2005-009";"Predicting Bankruptcy with Support Vector Machines";"Wolfgang Härdle, Rouslan A. Moro and  Dorothea Schäfer";"B1";"2005-03-01";"C40,  G10";" The purpose of this work is to introduce one of the most promising among recently developed statistical techniques Â– the support vector machine (SVM) Â– to corporate bankruptcy analysis. An SVM is implemented for analysing such predictors as financial ratios. A method of adapting it to default probability estimation is proposed. A survey of practically applied methods is given. This work shows that support vector machines are capable of extracting useful information from financial data, although extensive data sets are required in order to fully utilize their classification power."
"10";10;"2005-010";"Working with the XQC";"Wolfgang Härdle and  Heiko Lehmann";"B1";"2005-03-01";"C87,  C88";""
